Gene	count_concord	unique_hg38	unique_hg19
AKR1C2	83	0	0
AKR1C3	86	0	0
AKR1C4	66	0	0
AKR1C8P	49	5	6
AKR1D1	41	0	0
AKR1E2	103	0	0
AKR7A2	53	0	0
AKR7A3	92	0	0
AKR7L	85	0	0
AKT1	98	0	0
AKT1S1	68	0	0
AKT2	90	0	0
AKT3	52	0	0
AKTIP	38	0	0
ALAD	68	0	0
ALAS1	57	0	0
ALB	69	0	0
ALCAM	99	0	0
ALDH16A1	159	1	3
ALDH18A1	80	0	0
ALDH1A1	73	0	0
ALDH1A2	84	0	0
ALDH1A3	35	0	0
ALDH1B1	61	0	0
ALDH1L1	151	0	0
ALDH1L1-AS1	11	0	0
ALDH1L1-AS2	7	0	0
ALDH1L2	109	0	0
ALDH2	67	0	0
ALDH3A1	99	0	0
ALDH3A2	59	0	0
ALDH3B1	81	0	3
ALDH3B2	117	0	0
ALDH4A1	157	0	0
ALDH5A1	73	0	0
ALDH6A1	58	0	0
ALDH7A1	111	0	0
ALDH8A1	47	0	0
ALDH9A1	85	0	0
ALDOA	48	0	0
ALDOB	56	0	0
ALDOC	27	0	0
ALG1	110	0	0
ALG10	29	0	0
ALG10B	37	0	0
ALG11	29	0	1
ALG12	87	0	0
ALG14	20	0	0
ALG1L	38	0	0
ALG1L2	42	11	1
ALG1L9P	24	0	0
ALG2	40	0	0
ALG3	59	0	0
ALG5	54	0	0
ALG6	68	0	0
ALG8	68	0	0
ALG9	64	0	1
ALK	242	0	0
ALKAL1	17	0	0
ALKAL2	28	0	0
ALKBH1	41	0	0
ALKBH2	28	0	0
ALKBH3	39	0	0
ALKBH3-AS1	8	0	0
ALKBH4	30	0	0
ALKBH5	36	0	0
ALKBH6	29	0	0
ALKBH7	41	0	0
ALKBH8	85	0	0
ALLC	72	0	0
ALMS1	311	2	1
ALOX12	32	0	0
ALOX12-AS1	57	0	0
ALOX12B	140	0	0
ALOX15	98	0	0
ALOX15B	114	0	0
ALOX5	111	0	0
ALOX5AP	21	0	0
ALOXE3	107	0	0
ALPI	70	0	0
ALPK1	142	0	0
ALPK2	205	0	0
ALPK3	162	0	0
ALPL	95	0	0
ALPP	118	0	0
ALS2	176	0	0
ALS2CL	190	0	0
ALX1	38	0	0
ALX3	32	0	0
ALX4	65	0	0
ALYREF	32	0	0
AMACR	24	0	0
AMBN	82	0	0
AMBP	66	0	0
AMBRA1	102	0	0
AMD1	36	0	0
AMDHD1	55	0	0
AMDHD2	87	0	0
AMER2	52	0	0
AMER3	145	0	0
AMFR	55	0	0
AMH	68	0	0
AMHR2	54	0	0
AMIGO1	17	0	0
AMIGO2	22	0	0
AMIGO3	30	0	0
AMMECR1L	26	0	0
AMN	67	0	0
AMN1	28	0	0
AMOTL1	94	0	0
AMOTL2	86	0	0
AMPD1	85	0	0
AMPD2	94	0	0
AMPD3	132	0	0
AMPH	135	1	2
AMT	48	0	0
AMTN	47	0	0
AMY1A	22	0	1
AMY1B	22	0	1
AMY1C	22	0	1
AMY2A	63	0	0
AMY2B	72	0	0
AMZ1	160	0	0
AMZ2	41	0	0
ANAPC1	236	0	0
ANAPC10	12	0	0
ANAPC11	24	0	0
ANAPC13	11	0	0
ANAPC15	14	0	0
ANAPC16	21	0	0
ANAPC2	115	0	0
ANAPC4	95	0	0
ANAPC5	85	0	0
ANAPC7	63	0	0
ANG	13	0	0
ANGEL1	59	0	0
ANGEL2	46	0	0
ANGPT1	41	0	0
ANGPT2	88	0	0
ANGPT4	75	0	0
ANGPTL1	36	0	0
ANGPTL2	39	0	0
ANGPTL3	45	0	0
ANGPTL4	52	0	0
ANGPTL5	46	0	0
ANGPTL6	21	0	0
ANGPTL7	49	0	0
ANGPTL8	26	0	0
ANK1	360	0	2
ANK2	340	0	0
ANK3	322	0	0
ANKAR	118	0	0
ANKDD1A	89	2	2
ANKEF1	35	0	0
ANKFN1	87	0	0
ANKFY1	136	0	0
ANKH	68	0	0
ANKHD1	149	0	0
ANKHD1-EIF4EBP3	160	0	0
ANKIB1	90	0	0
